slide_id,full_path,label,split
tumor_095,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_095.tif,1,train
tumor_105,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_105.tif,1,train
tumor_077,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_077.tif,1,train
tumor_044,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_044.tif,1,train
tumor_062,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_062.tif,1,train
tumor_080,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_080.tif,1,train
tumor_051,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_051.tif,1,train
tumor_078,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_078.tif,1,train
tumor_110,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_110.tif,1,train
tumor_052,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_052.tif,1,train
tumor_099,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_099.tif,1,train
tumor_048,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_048.tif,1,train
tumor_083,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_083.tif,1,train
tumor_109,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_109.tif,1,train
tumor_061,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_061.tif,1,train
tumor_074,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_074.tif,1,train
tumor_096,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_096.tif,1,train
tumor_047,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_047.tif,1,train
tumor_106,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_106.tif,1,train
tumor_041,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_041.tif,1,train
tumor_100,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_100.tif,1,train
tumor_068,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_068.tif,1,train
tumor_072,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_072.tif,1,train
tumor_090,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_090.tif,1,train
tumor_085,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_085.tif,1,train
tumor_067,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_067.tif,1,train
tumor_054,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_054.tif,1,train
tumor_057,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_057.tif,1,train
tumor_064,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_064.tif,1,train
tumor_086,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_086.tif,1,train
tumor_093,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_093.tif,1,train
tumor_058,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_058.tif,1,train
tumor_071,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_071.tif,1,train
tumor_103,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_103.tif,1,train
tumor_089,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_089.tif,1,train
tumor_042,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_042.tif,1,train
tumor_014,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_014.tif,1,train
tumor_027,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_027.tif,1,train
tumor_032,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_032.tif,1,train
tumor_028,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_028.tif,1,train
tumor_001,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_001.tif,1,train
tumor_002,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_002.tif,1,train
tumor_031,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_031.tif,1,train
tumor_018,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_018.tif,1,train
tumor_024,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_024.tif,1,train
tumor_017,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_017.tif,1,train
tumor_038,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_038.tif,1,train
tumor_011,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_011.tif,1,train
tumor_022,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_022.tif,1,train
tumor_037,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_037.tif,1,train
tumor_004,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_004.tif,1,train
tumor_007,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_007.tif,1,train
tumor_034,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_034.tif,1,train
tumor_021,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_021.tif,1,train
tumor_008,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_008.tif,1,train
tumor_012,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_012.tif,1,train
tumor_035,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_035.tif,1,train
tumor_006,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_006.tif,1,train
tumor_013,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_013.tif,1,train
tumor_020,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_020.tif,1,train
tumor_009,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_009.tif,1,train
tumor_023,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_023.tif,1,train
tumor_039,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_039.tif,1,train
tumor_010,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_010.tif,1,train
tumor_005,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_005.tif,1,train
tumor_036,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_036.tif,1,train
tumor_030,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_030.tif,1,train
