slide_id,full_path,label
normal_005,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/normal/normal_005.tif,0
normal_101,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/normal/normal_101.tif,0
tumor_019,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_019.tif,1
normal_156,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/normal/normal_156.tif,0
normal_074,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/normal/normal_074.tif,0
normal_013,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/normal/normal_013.tif,0
normal_102,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/normal/normal_102.tif,0
normal_123,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/normal/normal_123.tif,0
tumor_045,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_045.tif,1
normal_108,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/normal/normal_108.tif,0
tumor_011,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_011.tif,1
tumor_034,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_034.tif,1
normal_055,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/normal/normal_055.tif,0
tumor_015,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_015.tif,1
normal_075,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/normal/normal_075.tif,0
tumor_039,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_039.tif,1
normal_122,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/normal/normal_122.tif,0
tumor_088,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_088.tif,1
normal_044,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/normal/normal_044.tif,0
tumor_056,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_056.tif,1
tumor_006,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_006.tif,1
tumor_068,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_068.tif,1
normal_132,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/normal/normal_132.tif,0
normal_029,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/normal/normal_029.tif,0
normal_078,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/normal/normal_078.tif,0
normal_138,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/normal/normal_138.tif,0
tumor_086,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_086.tif,1
normal_076,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/normal/normal_076.tif,0
tumor_042,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_042.tif,1
tumor_029,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_029.tif,1
tumor_092,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_092.tif,1
tumor_105,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_105.tif,1
tumor_013,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_013.tif,1
tumor_103,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_103.tif,1
tumor_016,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_016.tif,1
tumor_063,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_063.tif,1
normal_142,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/normal/normal_142.tif,0
normal_149,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/normal/normal_149.tif,0
tumor_102,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_102.tif,1
normal_066,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/normal/normal_066.tif,0
normal_060,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/normal/normal_060.tif,0
normal_079,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/normal/normal_079.tif,0
tumor_047,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_047.tif,1
normal_009,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/normal/normal_009.tif,0
normal_039,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/normal/normal_039.tif,0
normal_131,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/normal/normal_131.tif,0
tumor_070,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_070.tif,1
normal_116,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/normal/normal_116.tif,0
tumor_083,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_083.tif,1
tumor_007,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_007.tif,1
normal_120,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/normal/normal_120.tif,0
tumor_025,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_025.tif,1
normal_104,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/normal/normal_104.tif,0
normal_121,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/normal/normal_121.tif,0
normal_052,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/normal/normal_052.tif,0
normal_106,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/normal/normal_106.tif,0
tumor_101,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_101.tif,1
normal_125,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/normal/normal_125.tif,0
tumor_037,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_037.tif,1
tumor_041,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_041.tif,1
tumor_003,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_003.tif,1
normal_068,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/normal/normal_068.tif,0
normal_113,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/normal/normal_113.tif,0
normal_018,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/normal/normal_018.tif,0
normal_010,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/normal/normal_010.tif,0
tumor_024,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_024.tif,1
normal_147,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/normal/normal_147.tif,0
normal_022,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/normal/normal_022.tif,0
tumor_089,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_089.tif,1
normal_061,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/normal/normal_061.tif,0
normal_158,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/normal/normal_158.tif,0
normal_023,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/normal/normal_023.tif,0
normal_047,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/normal/normal_047.tif,0
tumor_050,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/tumor/tumor_050.tif,1
normal_103,/vol/research/datasets/pathology/Camelyon/Camelyon16/training/normal/normal_103.tif,0
